id,user_id,space_name
1,78474a95-820d-45b9-9897-4c5d19d28c78,new
2,05c747b8-a884-49d0-b39e-aeab110c3ba1,production
3,78474a95-820d-45b9-9897-4c5d19d28c78,newy
4,78474a95-820d-45b9-9897-4c5d19d28c78,newest
5,78474a95-820d-45b9-9897-4c5d19d28c78,newer
6,78474a95-820d-45b9-9897-4c5d19d28c78,neweos
7,78474a95-820d-45b9-9897-4c5d19d28c78,please
8,05c747b8-a884-49d0-b39e-aeab110c3ba1,maestro
9,05c747b8-a884-49d0-b39e-aeab110c3ba1,product
10,78474a95-820d-45b9-9897-4c5d19d28c78,crazy
11,78474a95-820d-45b9-9897-4c5d19d28c78,grabbing
12,78474a95-820d-45b9-9897-4c5d19d28c78,autumn
13,78474a95-820d-45b9-9897-4c5d19d28c78,direction
14,d05f56eb-2521-4341-a1dc-10ec37464388,perfection
15,d05f56eb-2521-4341-a1dc-10ec37464388,perfectionagn
16,d05f56eb-2521-4341-a1dc-10ec37464388,thirdperfection
